date,year,prices,market_caps,total_volumes,v_porcentual_d
2021-09-21,2021,2.0812,66467363740.22289,5304108501.538435,-9.15360775241173
2021-09-22,2021,1.9722,63007572370.16917,5359857791.287305,-5.2373630597732035
2021-09-23,2021,2.2403,71610128886.36876,4336704841.5801935,13.593955988236495
2021-09-24,2021,2.3264,74492626868.77536,2859554202.027366,3.8432352809891546
2021-09-25,2021,2.2713,74002539819.03792,5125188372.207657,-2.3684662998624484
2021-09-26,2021,2.3119,74201342932.3685,5042846268.65962,1.7875225641702963
2021-09-27,2021,2.2129,72357770423.4004,3307540082.587565,-4.282192136338081
2021-09-28,2021,2.1389,68586122051.51538,2386436991.206201,-3.3440281982918263
2021-09-29,2021,2.0379,65557023880.654594,2544152362.198193,-4.722053391930425
2021-09-30,2021,2.0585,65835114804.1442,2297621518.5790677,1.010844496785901
2021-10-01,2021,2.1167,67871265795.13519,2092736072.8648612,2.827301433082341
2021-10-02,2021,2.2468,71980741780.63368,2511823046.243126,6.146359899844112
2021-10-03,2021,2.2472,72017933348.18193,2194904017.547218,0.017803097738999796
2021-10-04,2021,2.2588,72529381282.70782,1560814022.0556097,0.5161979352082513
2021-10-05,2021,2.1951,70582726654.44083,1630672169.7123742,-2.8200814591818557
2021-10-06,2021,2.2378,71779849396.20284,1499391673.9169114,1.9452416746389645
2021-10-07,2021,2.2133,70967214662.64716,2144512119.753268,-1.0948252748234966
2021-10-08,2021,2.2800000000000002,72987443161.14131,2669936578.5982766,3.0135996024036604
2021-10-09,2021,2.2307,71588795681.69351,1521104723.9480116,-2.1622807017543932
2021-10-10,2021,2.2695,72764350708.77914,1322555134.0419257,1.7393643250997348
2021-10-11,2021,2.196,70297930939.29306,1430279071.7511737,-3.2385988103106222
2021-10-12,2021,2.1741,69443286763.17834,1823096849.7820146,-0.9972677595628476
2021-10-13,2021,2.118,67955499506.25527,2149638841.6672845,-2.5803780874844917
2021-10-14,2021,2.1893,70197147291.9888,1877291562.798567,3.3663833805476884
2021-10-15,2021,2.1745,69728970781.44403,1599892626.2695947,-0.6760151646644896
2021-10-16,2021,2.2256,71349162035.326,2748616055.3521533,2.3499655093124794
2021-10-17,2021,2.1872,70319790103.4739,1883705285.3751545,-1.7253774263120136
2021-10-18,2021,2.1578,69142581315.2241,1425207571.1065106,-1.3441843452816293
2021-10-19,2021,2.1284,68608888299.15414,1472254043.761813,-1.3624988414125405
2021-10-20,2021,2.1158,67789450192.070656,1505341304.492883,-0.5919939860928425
2021-10-21,2021,2.1936,70402677877.701,1964178910.7142134,3.6770961338500774
2021-10-22,2021,2.1453,68887153531.8649,3295703229.7190704,-2.2018599562363184
2021-10-23,2021,2.1655,69515903274.49059,2074957085.0357444,0.9415932503612501
2021-10-24,2021,2.1742,69699385114.50774,1350109773.2823513,0.40175479104131995
2021-10-25,2021,2.1286,68039453319.85252,1377128075.2727997,-2.0973231533437553
2021-10-26,2021,2.1521,69027525982.03403,1479846425.6155682,1.104012026684198
2021-10-27,2021,2.1388,68813391261.44438,1975499713.5894973,-0.6180010222573307
2021-10-28,2021,1.9239000000000002,61715577622.51048,4104852629.764946,-10.04769029362258
2021-10-29,2021,1.9947,64046931994.96556,3519101073.97631,3.6800249493216697
2021-10-30,2021,2.016,64529247718.78263,2105358110.4765468,1.0678297488344146
2021-10-31,2021,1.9514,62586219628.0512,1583695724.0762072,-3.204365079365079
2021-11-01,2021,1.9668,63182237770.93359,1841470220.641235,0.7891770011273946
2021-11-02,2021,1.9523000000000001,62573456803.62033,1949617531.4613352,-0.7372381533455319
2021-11-03,2021,1.9707,62928145589.88934,1826279345.998514,0.942478102750588
2021-11-04,2021,2.0676,66247488607.36172,3879652302.104393,4.917034556249056
2021-11-05,2021,1.9919,63622479071.92958,2525252728.572966,-3.6612497581737347
2021-11-06,2021,1.9865,63683096755.103096,1514719242.5809536,-0.2710979466840735
2021-11-07,2021,2.0097,64227934287.937096,1412173130.1263006,1.167883211678844
2021-11-08,2021,2.0272,64919758787.417885,1250219546.471892,0.8707767328457017
2021-11-09,2021,2.1276,68502222966.521576,2522468276.4590235,4.9526440410418315
2021-11-10,2021,2.278,73080012864.84605,6481640003.5700245,7.068997931942089
2021-11-11,2021,2.0971,66854245720.62231,5390860586.368477,-7.941176470588229
2021-11-12,2021,2.0852,66929489559.30144,2672496436.966428,-0.5674502884936428
2021-11-13,2021,2.0568,65779446170.06089,2162176874.724779,-1.3619796662190709
2021-11-14,2021,2.0583,65998839351.52305,1323387837.9128013,0.07292882147025281
2021-11-15,2021,2.0513,65424906569.13299,982316126.1891911,-0.3400864791332725
2021-11-16,2021,2.0252,64843843866.54438,1172113432.5159674,-1.2723638668161619
2021-11-17,2021,1.8845,60494621348.90495,2990618053.930762,-6.947461979063785
2021-11-18,2021,1.8814000000000002,59962823667.2647,2353167200.609291,-0.16449986733880761
2021-11-19,2021,1.7864,57091823833.413376,2206904009.051551,-5.049431274582772
2021-11-20,2021,1.8724,59842696071.68384,1665910272.4045656,4.8141513658755075
2021-11-21,2021,1.9281000000000001,61749371510.40341,1427460384.3845682,2.9747917111728306
2021-11-22,2021,1.8544,59666332645.029884,1065197817.1221697,-3.8224158498003313
2021-11-23,2021,1.7776,56956646394.2117,1434520943.7565627,-4.141501294219152
2021-11-24,2021,1.7513,56134045744.75097,1472329218.0728214,-1.4795229522952313
2021-11-25,2021,1.6688,53476780497.00569,2764726047.228318,-4.7107862730543015
2021-11-26,2021,1.6791,54011073136.0744,2278200155.4464865,0.6172099712368206
2021-11-27,2021,1.537,49295929468.84818,2630348908.631435,-8.462867012089815
2021-11-28,2021,1.5396,49329604411.69781,1250118217.7023115,0.1691607026675479
2021-11-29,2021,1.5926,50922677879.98383,1966773435.099131,3.4424525850870413
2021-11-30,2021,1.6034000000000002,51581902399.90013,1576848025.1449518,0.6781363807610186
2021-12-01,2021,1.554,49831565724.431114,1572337424.098531,-3.080952974928286
2021-12-02,2021,1.5477,49637322980.092224,1454814014.2169058,-0.40540540540540126
2021-12-03,2021,1.7142,54933481510.13827,3379770868.13854,10.757898817600298
2021-12-04,2021,1.5626,50422314444.39137,2276864446.302769,-8.843775522109432
2021-12-05,2021,1.4191,45467942852.08773,3640743720.547205,-9.183412261615253
2021-12-06,2021,1.3759000000000001,44037273599.94882,2545148280.6999063,-3.0441829328447523
2021-12-07,2021,1.4177,45537066741.6724,2441175917.2691627,3.0380114833926664
2021-12-08,2021,1.3843,44403584485.64563,1935731807.979635,-2.3559286167736393
2021-12-09,2021,1.3936,44576966707.249855,1568971689.0435467,0.6718196922632202
2021-12-10,2021,1.2989,41788233144.77946,1478362975.8705626,-6.795350172215842
2021-12-11,2021,1.2149,39284567642.00398,1510820463.0979323,-6.467010547386243
2021-12-12,2021,1.3472,43030071473.7523,1513577001.2068608,10.889785167503497
2021-12-13,2021,1.3484,43126518341.2412,1270360253.8522446,0.08907363420427306
2021-12-14,2021,1.2242,39254998728.15175,1261654292.147931,-9.210916641946021
2021-12-15,2021,1.2663,40517314024.62855,1348049274.0862064,3.438980558732241
2021-12-16,2021,1.3122,41883530741.13758,1395379666.5856905,3.6247334754797578
2021-12-17,2021,1.2452,39835060416.94712,1067855730.9631387,-5.105928974241724
2021-12-18,2021,1.2223,39221188621.62227,1147864459.4456306,-1.8390619980726108
2021-12-19,2021,1.2438,39931897234.77747,863246859.7907729,1.758978974065295
2021-12-20,2021,1.2462,40052534349.92224,1041105662.6224289,0.1929570670525793
2021-12-21,2021,1.2467,40024843957.4177,1127335557.1714299,0.04012197079119595
2021-12-22,2021,1.2829000000000002,41228725738.007034,978770640.1921023,2.903665677388334
2021-12-23,2021,1.3323,42878362097.23123,1332360401.624225,3.850650869124639
2021-12-24,2021,1.4783,47277552497.40627,1877638874.271785,10.958492831944744
2021-12-25,2021,1.3975,44858561786.50875,1148430340.8919153,-5.465737671649862
2021-12-26,2021,1.4586999999999999,46766255151.99811,865408025.7463002,4.379248658318424
2021-12-27,2021,1.4578,46723424210.61447,966076689.0682136,-0.06169877287995895
2021-12-28,2021,1.5213,49030667337.00915,1690731182.1739364,4.355878721360962
2021-12-29,2021,1.4116,45510121613.0108,1884771373.822483,-7.210938013541057
2021-12-30,2021,1.3377,42669320699.25304,1306643075.4429648,-5.235194105979035
2021-12-31,2021,1.358,43402759872.83702,1143248114.7488039,1.517530088958674
2022-01-01,2022,1.3107,42196254346.32806,1106501856.5754473,-3.483063328424163
2022-01-02,2022,1.3784,44200479605.333916,736142311.375654,5.165178912031743
2022-01-03,2022,1.3795,44292070955.55458,753645356.1769905,0.07980266976204131
2022-01-04,2022,1.3239,42579298186.5298,828444706.3323455,-4.030445813700611
2022-01-05,2022,1.3118,42361773516.50891,906279798.4721346,-0.9139663116549568
2022-01-06,2022,1.2395,39972161973.409676,1224845206.2896035,-5.511510901051997
2022-01-07,2022,1.2796,41181327448.57284,1375470276.8921692,3.2351754739814442
2022-01-08,2022,1.2145000000000001,38940980400.86951,1537503330.8968635,-5.087527352297583
2022-01-09,2022,1.1886,38305510646.897575,1307167794.3742094,-2.132564841498563
2022-01-10,2022,1.175,37584527637.96972,811699663.7863452,-1.144203264344612
2022-01-11,2022,1.1307,36302150872.95676,1307941135.9313571,-3.770212765957448
2022-01-12,2022,1.1867,38098252395.75478,952035463.4403963,4.952684177942879
2022-01-13,2022,1.306,41891466165.21188,1288777938.555198,10.053088396393361
2022-01-14,2022,1.2367,39819346582.17602,1509253079.1745124,-5.306278713629409
2022-01-15,2022,1.2913999999999999,41149779253.900505,1401461596.2860124,4.4230613730088075
2022-01-16,2022,1.2962,41629341033.15005,801645016.3436669,0.37168963915132913
2022-01-17,2022,1.4093,45306926785.96513,2190580339.5631986,8.72550532325258
2022-01-18,2022,1.5893000000000002,50522872800.3961,4791090273.44958,12.772298304122632
2022-01-19,2022,1.4708,47247124368.95572,3926232291.167172,-7.456112754042666
2022-01-20,2022,1.3428,43125375198.71007,2953432997.6002226,-8.70274680446016
2022-01-21,2022,1.2606,40662405607.01851,2255033811.661926,-6.1215370866845475
2022-01-22,2022,1.1219999999999999,36368173704.2542,2791296567.713649,-10.994764397905765
2022-01-23,2022,1.0719,34256465787.333424,3616776502.7686605,-4.46524064171121
2022-01-24,2022,1.1211,35957697983.57456,2162148187.4121585,4.589980408620198
2022-01-25,2022,1.0699,34308092836.127853,2857852888.5934176,-4.566943180804561
2022-01-26,2022,1.0457,33519647999.373234,1537074540.8679829,-2.2618936349191543
2022-01-27,2022,1.0782,34783150528.86953,2155730729.2827773,3.1079659558190587
2022-01-28,2022,1.0479,33601561740.91527,1379581941.4517817,-2.8102392877017213
2022-01-29,2022,1.053,33733183103.563057,1032965551.0389417,0.48668766103634464
2022-01-30,2022,1.0634,34002313217.462536,783225773.2580827,0.9876543209876409
2022-01-31,2022,1.0391,33352205324.627453,632774025.7571071,-2.2851231897686675
2022-02-01,2022,1.0548,33717971205.782238,817625399.7552172,1.5109229140602531
2022-02-02,2022,1.0903,34804039586.978775,979105491.4078708,3.3655669321198456
2022-02-03,2022,1.0315,33051606754.56344,955710873.933476,-5.393011097862965
2022-02-04,2022,1.0564,33875277868.730717,765456326.6083672,2.41396025206011
2022-02-05,2022,1.1338,36204546433.97586,1013126102.3026094,7.326770162817109
2022-02-06,2022,1.1298,36378045084.87456,1176550216.4574444,-0.35279590756747137
2022-02-07,2022,1.1472,36862183979.28601,752428785.5197074,1.5400955921402115
2022-02-08,2022,1.2001,38523988522.32886,1849002690.2470367,4.611227336122736
2022-02-09,2022,1.1815,37856316807.101555,1992641862.3897343,-1.5498708440963238
2022-02-10,2022,1.1975,38383301474.95149,1078225007.7826543,1.354210749047824
2022-02-11,2022,1.1544,36992223259.8953,1338197847.508603,-3.5991649269310977
2022-02-12,2022,1.0816,34703538693.84502,1053881949.1765454,-6.30630630630632
2022-02-13,2022,1.0571,33875479735.022057,1051948177.879654,-2.2651627218934878
2022-02-14,2022,1.0468,33537767336.502293,801110888.9015757,-0.974363825560498
2022-02-15,2022,1.0523,33725640380.821823,957978409.7604816,0.5254107756973658
2022-02-16,2022,1.1083,35679172598.208206,1036467397.5593413,5.3216763280433454
2022-02-17,2022,1.0854,34925054508.5803,766148212.3279066,-2.0662275557159715
2022-02-18,2022,1.0211,32776487178.54903,812615784.4818223,-5.924083287267368
2022-02-19,2022,0.9986,32059403498.594284,996941380.658312,-2.203506022916446
2022-02-20,2022,0.9991000000000001,32017660308.182068,878381951.6346868,0.050070098137400265
2022-02-21,2022,0.9341,30150673034.05805,1124857649.507319,-6.505855269742778
2022-02-22,2022,0.8603000000000001,27688893323.616894,1548137013.1354744,-7.900653035006955
2022-02-23,2022,0.8914000000000001,28644348109.42572,1600203239.5966136,3.615018016970817
2022-02-24,2022,0.8706,27987012931.084873,1350169630.428599,-2.3334081220552028
2022-02-25,2022,0.8538,27380809087.285168,2765582272.866026,-1.9297036526533473
2022-02-26,2022,0.8974000000000001,28804358271.907227,1242827016.4198291,5.106582337784027
2022-02-27,2022,0.8877,28448195569.613117,838819546.7357087,-1.080900378872307
2022-02-28,2022,0.8607,27574399427.75873,931897414.7217752,-3.041568097330183
2022-03-01,2022,0.9603,30630996790.18079,1359833504.4883604,11.571976298361797
2022-03-02,2022,0.9637,30892367858.65227,1334434083.1786208,0.35405602415912174
2022-03-03,2022,0.9390000000000001,30158715639.05949,952214634.5705429,-2.5630382899242465
2022-03-04,2022,0.9046000000000001,29070217141.824017,846862261.185301,-3.663471778487748
2022-03-05,2022,0.8438,27092657207.3501,929386636.0925647,-6.72120274154323
2022-03-06,2022,0.867,27767699997.64302,699482297.4954655,2.7494666982697424
2022-03-07,2022,0.8253,26438548435.806396,617464962.1174651,-4.809688581314875
2022-03-08,2022,0.7975,25566969905.6544,882304115.1967249,-3.368472070762152
2022-03-09,2022,0.8019000000000001,25692133991.60226,835120211.190321,0.5517241379310533
2022-03-10,2022,0.8495,27249486596.33701,862901845.6810565,5.935902232198531
2022-03-11,2022,0.8078000000000001,25889503942.016598,798878328.3405949,-4.90876986462625
2022-03-12,2022,0.7906000000000001,25428798152.19103,634486808.4585449,-2.1292399108690296
2022-03-13,2022,0.7915000000000001,25434710291.746582,391552569.5226586,0.11383759170251473
2022-03-14,2022,0.7923,25355708728.210907,592731497.5633243,0.1010739102969005
2022-03-15,2022,0.8038000000000001,25728914895.372,715538424.61176,1.4514704026252767
2022-03-16,2022,0.8004,25719829388.98241,672590089.500112,-0.42299079372979387
2022-03-17,2022,0.8382000000000001,26541616926.683826,969717592.0241901,4.722638680659674
2022-03-18,2022,0.8377,26836330495.633793,731533657.8818182,-0.05965163445479371
2022-03-19,2022,0.8541000000000001,27401653000.238808,633235446.9625047,1.9577414348812328
2022-03-20,2022,0.9011,28829284960.6332,874463958.3887647,5.502868516567139
2022-03-21,2022,0.8772000000000001,28148726945.452305,750486958.7804272,-2.652313838641651
2022-03-22,2022,0.9157000000000001,29195679346.345245,921246829.6089029,4.3889648882808885
2022-03-23,2022,0.9757,31106610233.077805,1339383877.7756891,6.552364311455716
2022-03-24,2022,1.1043,35144269548.35936,2721873859.026031,13.180280824023782
2022-03-25,2022,1.1281,36174727483.39774,2818931372.5988584,2.155211446164995
2022-03-26,2022,1.0977000000000001,35230742774.42558,2014405026.934792,-2.694796560588597
2022-03-27,2022,1.1504,36962552852.50904,1262708850.6801925,4.800947435547043
2022-03-28,2022,1.1792,37732296888.58796,1183071933.758048,2.5034770514603455
2022-03-29,2022,1.1683,37863693777.97249,2092616377.2214744,-0.924355495251028
2022-03-30,2022,1.1902,38100498122.30323,1575619798.950238,1.8745185311991763
2022-03-31,2022,1.1902,38244803202.93802,1355237416.0780725,0.0
2022-04-01,2022,1.1432,36564438553.58206,1624760196.3938525,-3.9489161485464552
2022-04-02,2022,1.1648,37319104972.83728,1563230562.9633229,1.889433170048993
2022-04-03,2022,1.1591,37298700193.35377,1120502102.8071818,-0.4893543956044022
2022-04-04,2022,1.1842,37950775793.778305,915587874.7530303,2.1654732119748
2022-04-05,2022,1.2127,38870321080.1152,2253384085.476365,2.4066880594494133
2022-04-06,2022,1.1708,37632239199.71879,1081488584.0818248,-3.4551001896594213
2022-04-07,2022,1.0544,34026993428.76506,1605538955.330919,-9.941920054663477
2022-04-08,2022,1.0931,35050598645.116776,1084344265.4143581,3.6703338391502305
2022-04-09,2022,1.0281,32831866550.980778,888344049.6076194,-5.946390998078854
2022-04-10,2022,1.0461,33449118882.30975,605121783.4488175,1.7508024511234233
2022-04-11,2022,1.0334,33247148814.551537,583476514.1398174,-1.2140330752318018
2022-04-12,2022,0.9225000000000001,29698618696.224495,1291467594.2250822,-10.731565705438362
2022-04-13,2022,0.9572,30694294775.110844,1020547948.0733728,3.7615176151761354
2022-04-14,2022,0.9762000000000001,31303049352.34989,751454569.7122971,1.984956122022563
2022-04-15,2022,0.9333,29929053080.4926,796807126.0565505,-4.394591272280279
2022-04-16,2022,0.9562,30654197034.917725,592228137.4808869,2.4536590592521224
2022-04-17,2022,0.9541000000000001,30647912429.836426,429049344.12627894,-0.21961932650073068
2022-04-18,2022,0.9173,29413227467.25513,466973239.0949684,-3.8570380463263887
2022-04-19,2022,0.9373,30056554133.196068,1046894124.5428251,2.1803117845851983
