date,year,prices,market_caps,total_volumes,v_porcentual_d,MM65
2021-03-30,2021,0.6554,12946647.615119625,174405.32187125,1.7701863354037117,1.3792461538461538
2021-03-31,2021,0.9617,18980215.187324844,1654913.567914721,46.73481843149223,1.372883076923077
2021-04-01,2021,1.1413,22549386.09622692,1513954.5648763347,18.675262555890605,1.3742507692307693
2021-04-02,2021,1.1954,23610399.341592122,589448.3287164279,4.7402085341277544,1.3636615384615383
2021-04-03,2021,1.2906,25487383.318624374,950114.5338632065,7.9638614689643505,1.3597307692307692
2021-04-04,2021,1.4979,29680350.50346709,4122603.639572023,16.062296606229665,1.3614984615384615
2021-04-05,2021,1.5468000000000002,30570592.63250872,1388001.7923164226,3.2645703985579866,1.3632969230769232
2021-04-06,2021,1.2934,25604551.23220559,1003143.3263407013,-16.38220843030773,1.3618784615384616
2021-04-07,2021,1.1804000000000001,23283083.556758087,1911976.2131685065,-8.73666305860522,1.349903076923077
2021-04-08,2021,1.1737,23472893.615566816,1216442.6940388954,-0.5676042019654437,1.3222861538461539
2021-04-09,2021,1.2332,24596974.357453562,864821.0273492603,5.069438527732828,1.2973769230769232
2021-04-10,2021,1.235,24689734.934545327,573678.4718665943,0.14596172559195875,1.269043076923077
2021-04-11,2021,1.4282,35473827.94734177,997638.2512445303,15.643724696356266,1.2504953846153843
2021-04-12,2021,1.3031000000000001,32308824.94347607,1045327.11372615,-8.759277412127142,1.2254353846153847
2021-04-13,2021,1.1172,27725107.278940957,799399.6875860905,-14.265981121939998,1.2019015384615386
2021-04-14,2021,1.2054,29837988.889005084,640001.5649560231,7.8947368421052655,1.1817415384615386
2021-04-15,2021,0.9962000000000001,24750694.822821323,1213112.3506488595,-17.35523477683756,1.1557876923076924
2021-04-16,2021,1.0156,25261749.114035062,1507515.4455346786,1.9474001204577318,1.1326230769230767
2021-04-17,2021,1.1413,28327831.97535352,985222.2419590971,12.376920047262697,1.1169046153846154
2021-04-18,2021,1.1288,27988433.261498157,466381.9134280031,-1.0952422675895912,1.0993338461538462
2021-04-19,2021,0.9521000000000001,23602794.55799921,612463.1744673633,-15.653791637136782,1.07798
2021-04-20,2021,0.9259000000000001,22951457.10581065,385647.816924899,-2.751811784476421,1.0532461538461537
2021-04-21,2021,0.9916,24637049.840248905,331001.5411281985,7.095798682363097,1.0304523076923076
2021-04-22,2021,0.9460000000000001,23472881.58125051,274250.6654112869,-4.598628479225486,1.0055615384615386
2021-04-23,2021,0.9182,22707342.074210614,366339.8093041119,-2.938689217758994,0.9789199999999999
2021-04-24,2021,0.8729,21633086.86676058,582621.1948166814,-4.933565671966889,0.9586938461538461
2021-04-25,2021,0.8974000000000001,22293375.253592793,992940.1754997222,2.8067361668003388,0.9396215384615385
2021-04-26,2021,0.9708,24045857.308859356,902692.0198308213,8.179184310229548,0.9278092307692308
2021-04-27,2021,0.9789,24257595.432806082,753549.1453083555,0.8343634116192877,0.9188061538461539
2021-04-28,2021,1.3835,34295246.26226976,6914657.8558477815,41.332107467565635,0.9163184615384616
2021-04-29,2021,1.8643,46200392.2534224,7067380.677740225,34.752439465124695,0.9231876923076924
2021-04-30,2021,1.9187,47736197.8205491,2553280.053656667,2.9179853027946123,0.935943076923077
2021-05-01,2021,2.8522,70555213.30927257,10500810.13047118,48.65273362172302,0.9636
